2025-03-27 02:21:19.824 | WARNING  | __main__:main:15 - Processing your request...
2025-03-27 02:21:19.824 | INFO     | app.agent.base:run:140 - Executing step 1/20
2025-03-27 02:21:19.825 | DEBUG    | app.agent.browser:get_browser_state:59 - Browser state error: Browser context not initialized
2025-03-27 02:21:21.178 | ERROR    | app.llm:ask_tool:762 - OpenAI API error: Error code: 400 - {'error': {'code': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.', 'type': 'invalid_request_error', 'param': None}}
2025-03-27 02:21:21.179 | ERROR    | app.llm:ask_tool:768 - API error: Error code: 400 - {'error': {'code': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.', 'type': 'invalid_request_error', 'param': None}}
2025-03-27 02:21:22.387 | ERROR    | app.llm:ask_tool:762 - OpenAI API error: Error code: 400 - {'error': {'code': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.', 'type': 'invalid_request_error', 'param': None}}
2025-03-27 02:21:22.387 | ERROR    | app.llm:ask_tool:768 - API error: Error code: 400 - {'error': {'code': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.', 'type': 'invalid_request_error', 'param': None}}
2025-03-27 02:21:24.676 | ERROR    | app.llm:ask_tool:762 - OpenAI API error: Error code: 400 - {'error': {'code': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.', 'type': 'invalid_request_error', 'param': None}}
2025-03-27 02:21:24.677 | ERROR    | app.llm:ask_tool:768 - API error: Error code: 400 - {'error': {'code': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.', 'type': 'invalid_request_error', 'param': None}}
2025-03-27 02:21:28.065 | ERROR    | app.llm:ask_tool:762 - OpenAI API error: Error code: 400 - {'error': {'code': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.', 'type': 'invalid_request_error', 'param': None}}
2025-03-27 02:21:28.065 | ERROR    | app.llm:ask_tool:768 - API error: Error code: 400 - {'error': {'code': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.', 'type': 'invalid_request_error', 'param': None}}
